pattern_id,support,episode
0,11,"[{""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}]"
1,14,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}]"
2,19,"[{""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}]"
3,9,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}]"
4,7,"[{""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}]"
5,17,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}]"
6,15,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}]"
7,12,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}]"
8,14,"[{""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}]"
9,7,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}]"
10,8,"[{""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}]"
11,15,"[{""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}]"
12,17,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}]"
13,13,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}]"
14,19,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}]"
15,16,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}]"
16,15,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}]"
17,12,"[{""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}]"
18,4,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}]"
19,3,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}]"
20,3,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]},  {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]},{""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}]"
100,10,"[{""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}]"
101,10,"[{""activity"": ""SetCreditBlock"", ""objects"": [""SalesOrder"", ""SalesOrderBlock"", ""SalesOrg"", ""DistributionChannel""]}, {""activity"": ""CreateSalesOrderItem"", ""objects"": [""SalesOrderItem"", ""SalesOrder""]}, {""activity"": ""CreateSalesOrderHeader"", ""objects"": [""SalesOrder""]}]"